model_type,strategy,threshold,precision,recall,f1
xgboost,f1,0.5215794444084167,0.48412252712188897,0.6383433466282964,0.5506383781782813
xgboost,recall_constrained,0.0006907468778081238,0.24186930647931812,1.0,0.3895245743129189
xgboost,precision_constrained,0.5574280619621277,0.5063267769651353,0.6000067316268659,0.5492005298992575
lightgbm,f1,0.5655484951284847,0.5194881972889659,0.6210935527843692,0.5657652685798381
lightgbm,recall_constrained,0.017455794462278556,0.24186930647931812,1.0,0.3895245743129189
lightgbm,precision_constrained,0.5826364300083388,0.5328262071645271,0.6000067316268659,0.5644244621400415
randomforest,f1,0.4181839353709148,0.4957001247292063,0.6353814308072904,0.5569159057719824
randomforest,recall_constrained,0.004240326216075611,0.24186930647931812,1.0,0.3895245743129189
randomforest,precision_constrained,0.43877103434195414,0.5165828708868829,0.6000067316268659,0.5551783740014637
catboost,f1,0.5508590784104945,0.5037839442053718,0.6284815132697195,0.5592661924372894
catboost,recall_constrained,0.0015738994464893734,0.24186930647931812,1.0,0.3895245743129189
catboost,precision_constrained,0.576392222493392,0.5222505419816019,0.6000067316268659,0.5584349474112884
